"rules","support","confidence","coverage","lift","count"
"{ALONSO=0,JIMMY=0,RICK=0,YURIKO=0,SHELDA=0,WIN=0} => {BARBARA=1}",0.111111111111111,1,0.111111111111111,2.50819672131148,17
"{SHELDA=1,WIN=0} => {YURIKO=0}",0.130718954248366,1,0.130718954248366,1.71910112359551,20
"{BARBARA=0,SHELDA=1,WIN=0} => {YURIKO=0}",0.111111111111111,1,0.111111111111111,1.71910112359551,17
"{ALONSO=0,SHELDA=1,WIN=0} => {YURIKO=0}",0.124183006535948,1,0.124183006535948,1.71910112359551,19
"{ALONSO=0,BARBARA=0,SHELDA=1,WIN=0} => {YURIKO=0}",0.104575163398693,1,0.104575163398693,1.71910112359551,16
"{FRANCOIS=1,BARBARA=1,WIN=0} => {JIMMY=0}",0.169934640522876,1,0.169934640522876,1.68131868131868,26
"{FRANCOIS=1,YURIKO=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.117647058823529,1,0.117647058823529,1.68131868131868,18
"{FRANCOIS=1,RICK=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.169934640522876,1,0.169934640522876,1.68131868131868,26
"{STEEVE=0,FRANCOIS=1,BARBARA=1,WIN=0} => {JIMMY=0}",0.150326797385621,1,0.150326797385621,1.68131868131868,23
"{FRANCOIS=1,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.156862745098039,1,0.156862745098039,1.68131868131868,24
"{FRANCOIS=1,ALONSO=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.163398692810458,1,0.163398692810458,1.68131868131868,25
"{FRANCOIS=1,RICK=0,YURIKO=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.117647058823529,1,0.117647058823529,1.68131868131868,18
"{FRANCOIS=1,YURIKO=0,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.104575163398693,1,0.104575163398693,1.68131868131868,16
"{FRANCOIS=1,ALONSO=0,YURIKO=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.111111111111111,1,0.111111111111111,1.68131868131868,17
"{STEEVE=0,FRANCOIS=1,RICK=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.150326797385621,1,0.150326797385621,1.68131868131868,23
"{FRANCOIS=1,RICK=0,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.156862745098039,1,0.156862745098039,1.68131868131868,24
"{FRANCOIS=1,ALONSO=0,RICK=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.163398692810458,1,0.163398692810458,1.68131868131868,25
"{STEEVE=0,FRANCOIS=1,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.137254901960784,1,0.137254901960784,1.68131868131868,21
"{STEEVE=0,FRANCOIS=1,ALONSO=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.143790849673203,1,0.143790849673203,1.68131868131868,22
"{FRANCOIS=1,ALONSO=0,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.150326797385621,1,0.150326797385621,1.68131868131868,23
"{FRANCOIS=1,RICK=0,YURIKO=0,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.104575163398693,1,0.104575163398693,1.68131868131868,16
"{FRANCOIS=1,ALONSO=0,RICK=0,YURIKO=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.111111111111111,1,0.111111111111111,1.68131868131868,17
"{STEEVE=0,FRANCOIS=1,RICK=0,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.137254901960784,1,0.137254901960784,1.68131868131868,21
"{STEEVE=0,FRANCOIS=1,ALONSO=0,RICK=0,BARBARA=1,WIN=0} => {JIMMY=0}",0.143790849673203,1,0.143790849673203,1.68131868131868,22
"{FRANCOIS=1,ALONSO=0,RICK=0,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.150326797385621,1,0.150326797385621,1.68131868131868,23
"{STEEVE=0,FRANCOIS=1,ALONSO=0,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.130718954248366,1,0.130718954248366,1.68131868131868,20
"{STEEVE=0,FRANCOIS=1,ALONSO=0,RICK=0,BARBARA=1,SHELDA=0,WIN=0} => {JIMMY=0}",0.130718954248366,1,0.130718954248366,1.68131868131868,20
"{FRANCOIS=1,BARBARA=1,WIN=0} => {RICK=0}",0.169934640522876,1,0.169934640522876,1.42990654205607,26
"{FRANCOIS=1,YURIKO=0,BARBARA=1,WIN=0} => {RICK=0}",0.117647058823529,1,0.117647058823529,1.42990654205607,18
"{FRANCOIS=1,JIMMY=0,BARBARA=1,WIN=0} => {RICK=0}",0.169934640522876,1,0.169934640522876,1.42990654205607,26
"{STEEVE=0,FRANCOIS=1,BARBARA=1,WIN=0} => {RICK=0}",0.150326797385621,1,0.150326797385621,1.42990654205607,23
"{FRANCOIS=1,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.156862745098039,1,0.156862745098039,1.42990654205607,24
"{FRANCOIS=1,ALONSO=0,BARBARA=1,WIN=0} => {RICK=0}",0.163398692810458,1,0.163398692810458,1.42990654205607,25
"{FRANCOIS=1,JIMMY=0,YURIKO=0,BARBARA=1,WIN=0} => {RICK=0}",0.117647058823529,1,0.117647058823529,1.42990654205607,18
"{FRANCOIS=1,YURIKO=0,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.104575163398693,1,0.104575163398693,1.42990654205607,16
"{FRANCOIS=1,ALONSO=0,YURIKO=0,BARBARA=1,WIN=0} => {RICK=0}",0.111111111111111,1,0.111111111111111,1.42990654205607,17
"{STEEVE=0,FRANCOIS=1,JIMMY=0,BARBARA=1,WIN=0} => {RICK=0}",0.150326797385621,1,0.150326797385621,1.42990654205607,23
"{FRANCOIS=1,JIMMY=0,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.156862745098039,1,0.156862745098039,1.42990654205607,24
"{FRANCOIS=1,ALONSO=0,JIMMY=0,BARBARA=1,WIN=0} => {RICK=0}",0.163398692810458,1,0.163398692810458,1.42990654205607,25
"{STEEVE=0,FRANCOIS=1,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.137254901960784,1,0.137254901960784,1.42990654205607,21
"{STEEVE=0,FRANCOIS=1,ALONSO=0,BARBARA=1,WIN=0} => {RICK=0}",0.143790849673203,1,0.143790849673203,1.42990654205607,22
"{FRANCOIS=1,ALONSO=0,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.150326797385621,1,0.150326797385621,1.42990654205607,23
"{FRANCOIS=1,JIMMY=0,YURIKO=0,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.104575163398693,1,0.104575163398693,1.42990654205607,16
"{FRANCOIS=1,ALONSO=0,JIMMY=0,YURIKO=0,BARBARA=1,WIN=0} => {RICK=0}",0.111111111111111,1,0.111111111111111,1.42990654205607,17
"{STEEVE=0,FRANCOIS=1,JIMMY=0,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.137254901960784,1,0.137254901960784,1.42990654205607,21
"{STEEVE=0,FRANCOIS=1,ALONSO=0,JIMMY=0,BARBARA=1,WIN=0} => {RICK=0}",0.143790849673203,1,0.143790849673203,1.42990654205607,22
"{FRANCOIS=1,ALONSO=0,JIMMY=0,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.150326797385621,1,0.150326797385621,1.42990654205607,23
"{STEEVE=0,FRANCOIS=1,ALONSO=0,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.130718954248366,1,0.130718954248366,1.42990654205607,20
"{STEEVE=0,FRANCOIS=1,ALONSO=0,JIMMY=0,BARBARA=1,SHELDA=0,WIN=0} => {RICK=0}",0.130718954248366,1,0.130718954248366,1.42990654205607,20
"{YURIKO=1,WIN=0} => {SHELDA=0}",0.169934640522876,1,0.169934640522876,1.26446280991736,26
"{JIMMY=0,YURIKO=1,WIN=0} => {SHELDA=0}",0.117647058823529,1,0.117647058823529,1.26446280991736,18
"{RICK=0,YURIKO=1,WIN=0} => {SHELDA=0}",0.143790849673203,1,0.143790849673203,1.26446280991736,22
"{STEEVE=0,YURIKO=1,WIN=0} => {SHELDA=0}",0.143790849673203,1,0.143790849673203,1.26446280991736,22
