"rules","support","confidence","coverage","lift","count"
"{JIMMY=1,RICK=0,SHELDA=0,WIN=1} => {BARBARA=0}",0.143790849673203,0.956521739130435,0.150326797385621,1.59073724007561,22
"{ALONSO=0,JIMMY=1,RICK=0,WIN=1} => {BARBARA=0}",0.143790849673203,0.956521739130435,0.150326797385621,1.59073724007561,22
"{FRANCOIS=0,ALONSO=0,JIMMY=1,WIN=1} => {SHELDA=0}",0.143790849673203,0.956521739130435,0.150326797385621,1.20948616600791,22
"{STEEVE=0,FRANCOIS=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.143790849673203,0.956521739130435,0.150326797385621,1.20948616600791,22
"{FRANCOIS=1,WIN=1} => {ALONSO=0}",0.143790849673203,0.956521739130435,0.150326797385621,1.03061849357012,22
"{FRANCOIS=0,JIMMY=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.137254901960784,0.954545454545455,0.143790849673203,1.20698722764838,21
"{STEEVE=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.137254901960784,0.954545454545455,0.143790849673203,1.20698722764838,21
"{STEEVE=0,YURIKO=1,BARBARA=0,WIN=1} => {ALONSO=0}",0.137254901960784,0.954545454545455,0.143790849673203,1.02848911651729,21
"{ALONSO=0,JIMMY=1,RICK=0,SHELDA=0,WIN=1} => {BARBARA=0}",0.130718954248366,0.952380952380952,0.137254901960784,1.58385093167702,20
"{STEEVE=0,FRANCOIS=0,ALONSO=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.130718954248366,0.952380952380952,0.137254901960784,1.20425029515939,20
"{STEEVE=0,ALONSO=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.130718954248366,0.952380952380952,0.137254901960784,1.20425029515939,20
"{FRANCOIS=0,JIMMY=0,WIN=1} => {ALONSO=0}",0.130718954248366,0.952380952380952,0.137254901960784,1.0261569416499,20
"{STEEVE=0,YURIKO=1,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.130718954248366,0.952380952380952,0.137254901960784,1.0261569416499,20
"{STEEVE=0,FRANCOIS=0,JIMMY=1,WIN=1} => {SHELDA=0}",0.124183006535948,0.95,0.130718954248366,1.20123966942149,19
"{FRANCOIS=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.124183006535948,0.95,0.130718954248366,1.20123966942149,19
"{FRANCOIS=0,ALONSO=0,JIMMY=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.124183006535948,0.95,0.130718954248366,1.20123966942149,19
"{BARBARA=1,WIN=1} => {ALONSO=0}",0.124183006535948,0.95,0.130718954248366,1.02359154929577,19
"{RICK=1,BARBARA=0,WIN=1} => {ALONSO=0}",0.124183006535948,0.95,0.130718954248366,1.02359154929577,19
"{STEEVE=0,RICK=1,WIN=1} => {ALONSO=0}",0.124183006535948,0.95,0.130718954248366,1.02359154929577,19
"{STEEVE=0,FRANCOIS=1,WIN=1} => {ALONSO=0}",0.124183006535948,0.95,0.130718954248366,1.02359154929577,19
"{JIMMY=0,RICK=0,WIN=1} => {ALONSO=0}",0.124183006535948,0.95,0.130718954248366,1.02359154929577,19
"{FRANCOIS=0,YURIKO=1,BARBARA=0,WIN=1} => {ALONSO=0}",0.124183006535948,0.95,0.130718954248366,1.02359154929577,19
"{STEEVE=0,RICK=0,BARBARA=0,WIN=1} => {JIMMY=1}",0.117647058823529,0.947368421052632,0.124183006535948,2.33786078098472,18
"{STEEVE=0,FRANCOIS=0,RICK=0,WIN=1} => {YURIKO=1}",0.117647058823529,0.947368421052632,0.124183006535948,2.26480263157895,18
"{JIMMY=1,YURIKO=1,WIN=1} => {BARBARA=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.57551487414188,18
"{JIMMY=1,YURIKO=1,SHELDA=0,WIN=1} => {BARBARA=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.57551487414188,18
"{STEEVE=0,JIMMY=1,RICK=0,WIN=1} => {BARBARA=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.57551487414188,18
"{JIMMY=1,YURIKO=1,WIN=1} => {STEEVE=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.30583214793741,18
"{JIMMY=1,YURIKO=1,SHELDA=0,WIN=1} => {STEEVE=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.30583214793741,18
"{JIMMY=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.19791213571118,18
"{STEEVE=0,FRANCOIS=0,RICK=0,WIN=1} => {SHELDA=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.19791213571118,18
"{FRANCOIS=0,ALONSO=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.19791213571118,18
